Charge_in_mAh,Current,Voltage,Temperature
14.6875,0.668,4.984,23.4414
15.9101,0.6674,4.984,23.4414
15.9101,0.6686,4.984,23.4414
15.9101,0.668,4.984,23.4414
15.9101,0.671,4.9836,23.4414
15.9101,0.6698,4.9836,23.4414
15.9101,0.6721,4.9832,23.4414
15.9101,0.6721,4.9829,23.4414
15.9101,0.6727,4.9829,23.6905
15.9101,0.6751,4.9822,23.6905
17.1289,0.6739,4.9825,23.6905
17.1289,0.6721,4.9825,23.6905
17.1289,0.6745,4.9832,23.6905
17.1289,0.6739,4.9829,23.6905
17.1289,0.6715,4.9832,23.6905
17.1289,0.6774,4.9825,23.6905
17.1289,0.6768,4.9822,23.6905
17.1289,0.6762,4.9825,23.6905
17.1289,0.6762,4.9822,23.6905
18.3594,0.678,4.9822,23.6905
18.3594,0.685,4.9811,23.6905
18.3594,0.6879,4.9804,23.6905
18.3594,0.695,4.9793,23.6905
18.3594,0.7085,4.9768,23.6905
18.3594,0.7155,4.9746,23.6905
18.3594,0.712,4.9753,23.6905
18.3594,0.7237,4.9728,23.6905
19.582,0.7219,4.9728,23.6905
19.582,0.7202,4.9732,23.6905
19.582,0.7184,4.9735,23.6905
19.582,0.7155,4.9739,23.6905
19.582,0.7131,4.9746,23.6905
19.582,0.7126,4.9746,23.6905
19.582,0.712,4.975,23.6905
19.582,0.7096,4.9757,23.6905
20.8047,0.7073,4.976,23.6905
20.8047,0.7049,4.9768,23.6905
20.8047,0.7026,4.9775,23.9395
20.8047,0.6991,4.9782,23.9395
20.8047,0.6926,4.9789,23.9395
20.8047,0.6874,4.98,23.9395
20.8047,0.6838,4.9811,23.9395
20.8047,0.6827,4.9814,23.9395
20.8047,0.6797,4.9818,23.9395
22.0273,0.6762,4.9822,23.9395
22.0273,0.6751,4.9818,23.9395
22.0273,0.6751,4.9825,23.9395
22.0273,0.6745,4.9825,23.9395
22.0273,0.6739,4.9829,23.9395
22.0273,0.6727,4.9832,23.9395
22.0273,0.6715,4.9832,23.9395
22.0273,0.6704,4.9836,23.9395
22.0273,0.671,4.9836,23.9395
23.2539,0.6692,4.9836,23.9395
23.2539,0.6727,4.9836,23.9395
23.2539,0.671,4.9836,23.9395
23.2539,0.6721,4.9836,23.9395
23.2539,0.6727,4.9836,23.9395
23.2539,0.6727,4.984,23.9395
